item_no,price,rating,title
234099,100.00,5.0,Solo Stove Mesa XL Fire Pit
114799,36.93,4.6,Snow Peak GigaPower 2.0 Stove
114890,49.95,4.6,MSR PocketRocket 2 Stove
179537,69.95,4.5,Eureka SPRK+ Butane Camp Stove
127968,129.95,4.5,Jetboil Flash Cooking System
149913,124.95,4.5,Eureka Ignite 2-Burner Camp Stove
191171,190.00,4.2,Camp Chef Everest 2X High-Pressure Stove
106902,119.95,4.7,MSR PocketRocket Stove Kit
204932,200.00,4.6,Coleman Cascade 328 3-Burner Camp Stove
179538,149.95,4.4,Eureka SPRK Camp Grill
234098,280.00,5.0,Solo Stove Bonfire Fire Pit with Stand 2.0
876918,169.95,4.4,Jetboil MiniMo Cooking System
125248,189.95,4.6,MSR WindBurner Stove System - 1 Liter
852113,39.95,4.3,Esbit Solid Fuel Stove and Cookset
169523,119.95,4.6,Snow Peak Home &amp; Camp Butane Stove
186794,69.95,4.0,FIRESIDE OUTDOOR Ground Ember Mat
728384,5.95,4.8,Jetboil Jetpower Fuel - 3.53 oz. / 100g
206260,3.50,5.0,Iwatani Butane Fuel Canister - 8 fl. oz.
830343,134.95,4.7,MSR WindPro II Backpacking Stove
139468,44.95,4.7,TOAKS Titanium Backpacking Wood Burning Stove - Small
227914,269.95,0.0,Snow Peak Teppanyaki Burner
176750,129.95,4.4,Ignik Gas Growler Deluxe
173365,39.95,4.8,AeroPress Go Travel Coffee Press
199934,89.83,3.9,NEMO Tensorâ€¯Ultralight Sleeping Pad
225651,600.00,4.6,Garmin Forerunner 965
782241,8.93,4.5,Sea to Summit Alpha Light Spoon - Long
186178,75.93,4.7,REI Co-op Pack-Away Bin
229733,49.95,4.4,LifeStraw Go Series 1 L Water Filter Bottle - 33.8 fl. oz.
198437,40.00,4.3,Tiny Tents Basecamp Dome Tent
158399,39.95,4.7,REI Co-op Trailsmith Gloves
208257,400.00,4.1,Garmin inReach Mini 2
161521,18.93,4.2,Zippo Heatbank 3 Rechargeable Hand Warmer and Power Bank
848099,44.95,4.0,GSI Outdoors Gourmet Kitchen Set 11
219193,15.93,4.7,REI Co-op Graphic Camp Mug - 12 fl. oz.
220438,45.00,4.4,Stanley Quencher H2.0 FlowState Tumbler - 40 fl. oz.
634288,36.93,4.5,Rubbermaid Action Packer - 24 Gallon
143797,15.93,4.6,TheTentLab The Deuce 3 Heavy Duty Backcountry Trowel
815538,7.93,4.1,GSI Outdoors Spice Missile
204536,29.95,4.0,REI Co-op Pack-Away 6 Soft Cooler
217509,11.95,4.5,OXO Soap-Dispensing Brush with Storage Case
188426,15.95,4.7,REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.
188475,29.93,3.3,Platypus QuickDraw Microfilter System
207804,32.73,4.0,Hydro Flask Wide-Mouth Vacuum Water Bottle with Flex Cap - 32 fl. oz.
233808,30.00,4.8,YETI Rambler Vacuum Pint Glass with MagSlider Lid
139477,19.95,4.7,TOAKS Titanium 3-Piece Cutlery Set
217505,25.95,3.9,OXO Campgrounds French Press 2.0
161619,150.00,4.8,Stanley Even-Heat Camp Pro Cookset
202274,374.00,3.9,REI Co-op Skyward 4 Tent
203934,19.95,4.7,OXO Outdoor Santoku Knife with Locking Sheath
189488,23.00,4.7,SOL Flat Pack Collapsible Sink - 16 Liters
149219,70.00,4.0,Stanley Classic Vacuum French Press - 48 fl. oz.
176598,92.93,4.8,Rumpl Original Puffy Blanket - National Park
189489,17.00,4.4,SOL Flat Pack Collapsible Sink - 8 Liters
797114,55.93,4.4,Sea to Summit Thermolite Reactor Extreme Sleeping Bag Liner
889971,36.93,4.2,Sea to Summit X-Pot Kettle - 1.3 Liters
234022,34.73,4.8,MPOWERD Luci Pro Series Inflatable Solar Lantern
203771,39.95,4.9,Kelty Chef Roll Bag
193121,73.83,3.6,REI Co-op Trailgate Vehicle Shelter
169962,34.95,4.3,Hydro Flask Coffee with Flex Sip Lid - 20 fl. oz.
231022,12.73,5.0,UCO 4-Piece Mess Kit
200660,86.93,4.0,Mountain Summit Gear Aluminum Folding Picnic Table
223393,69.95,4.8,AeroPress XL Coffee Press
235025,17.73,0.0,CamelBak Insulated Stainless-Steel Camp Mug - 12 fl. oz.
187358,11.93,4.1,REI Co-op Life Outdoors Flask - 8 fl. oz.
193589,29.93,4.6,REI Co-op Flannel/Fleece Blanket
739717,17.00,4.6,Rolla Roaster Marshmallow and Hot Dog Roasting Forks - Pair
186176,34.93,4.6,REI Co-op Pack-Away Adjustable Cube
227610,20.93,4.4,Hydro Flask Kids' Wide-Mouth Vacuum Water Bottle with Straw Cap Lid and Boot - 12 fl. oz.
189676,79.95,4.6,GSI Outdoors Rakau Knife Set
230608,12.73,5.0,Sea to Summit X-Bowl
203552,10.93,4.8,REI Co-op Nalgene Sustain Graphic Wide-Mouth Water Bottle - 32 fl. oz.
129646,39.95,4.9,GSI Outdoors Santoku Knife Set
190769,3.95,5.0,Eureka Butane Fuel Canister - 8 oz.
189289,59.95,4.5,BioLite FirePit Carry Bag
128868,219.95,4.4,MSR WindBurner Duo Stove System
186174,149.95,4.4,Jetboil Stash Cooking System
198221,179.95,4.0,Ignik FireCan Portable Fire Pit
204839,80.00,4.6,Coleman Cascade 18 1-Burner Camp Stove
783963,26.95,4.5,MSR Fuel Bottle - 30 fl. oz.
189149,110.00,4.8,Coleman Guide Series Compact Dual Fuel Stove
167685,144.95,4.5,Jetboil Flash Java Kit Cooking System
213476,46.73,0.0,ALPS Mountaineering Adventure Chair
205575,116.73,0.0,Mountain Equipment Starlight I Sleeping Bag - Women's Long
205574,132.73,4.0,Mountain Equipment Starlight I Sleeping Bag - Women's
213447,63.73,2.0,ALPS Mountaineering Flexcore Air Pad - XL
213486,208.73,5.0,ALPS Mountaineering Ready Lite Cot
232064,3.73,0.0,GSI Outdoors Infinity Bowl
830341,159.95,4.6,MSR WhisperLite International Backpacking Stove
232067,3.73,0.0,GSI Outdoors Infinity Plate
232069,2.73,5.0,GSI Outdoors Infinity Stacking Cup
232066,2.73,0.0,GSI Outdoors Infinity Mug
232079,3.73,0.0,GSI Outdoors Pint Glass
232068,2.73,0.0,GSI Outdoors Infinity Serving Bowl
235020,37.73,0.0,CamelBak MultiBev Insulated Water Bottle - 22 fl. oz.
144789,172.73,2.3,Mountainsmith Cottonwood 6-Person Tent
232065,2.73,0.0,GSI Outdoors Infinity Divided Plate
174089,163.73,1.8,Mountainsmith Upland 6 Tent
232077,17.73,0.0,GSI Outdoors MicroLite 500 Twist Vacuum Water Bottle - 17 fl. oz.
185046,36.73,3.5,ALPS Mountaineering Meramac 6 Floor Saver Footprint
190080,82.73,4.2,Gregory Miwok 18 Pack - Men's
232063,18.73,0.0,GSI Outdoors Infinity 1-Person Table Set
199158,113.73,5.0,Komperdell Carbon C3 Pro Trekking Poles - 2020 - Pair
232070,24.73,0.0,GSI Outdoors MicroLite 1000 Twist Vacuum Water Bottle - 32 fl. oz.
232062,24.73,4.0,GSI Outdoors Cascadian 4-Person Table Set
203769,51.73,3.8,Exped Mira II HL Footprint
232071,24.73,5.0,GSI Outdoors MicroLite 1000 Twist Vacuum Water Bottle - 32 fl. oz.
199159,135.73,2.5,Komperdell Carbon C3 Pro Compact Trekking Poles - Pair
205540,58.73,3.5,Trekmates Mountain Pod Emergency Shelter - L
205565,151.73,0.0,Mountain Equipment Nova II Sleeping Bag - Men's Long
211020,109.73,4.3,Smith Headliner Sunglasses
203801,46.73,4.0,Exped Mira III HL Footprint
211043,139.73,0.0,Smith Shoutout ChromaPop Sunglasses
128867,104.95,4.6,MSR PocketRocket 2 Mini Stove Kit
215035,13.73,4.8,Black Diamond Moji Color Lantern
736977,289.95,4.7,MSR Reactor Stove System - 1.7 Liter
115533,219.95,4.2,Jetboil HalfGen Base Camp Cooking System
813623,99.95,4.4,Jetboil Zip Cooking System
187621,49.95,4.4,Eureka SPRK Camp Stove
177954,69.95,4.8,Soto WindMaster Stove with 4Flex Pot Support
231017,4.73,3.0,Esbit Emergency Stove with 3 Fuel Cubes
709002,189.95,4.6,MSR DragonFly Backpacking Stove
830342,199.95,4.4,MSR WhisperLite Universal Backpacking Stove
831501,179.95,4.5,Jetboil Sumo Cooking System
209245,46.73,3.3,Primus Open Fire Camping Pan - Small
148209,84.95,4.4,MSR PocketRocket Deluxe Stove
155030,41.83,0.0,Perception Splash Seat Back Cooler
224722,20.93,3.7,Klean Kanteen Rise Tumbler with Flip Lid - 16 fl. oz.
212379,20.00,4.7,Stanley Adventure Vacuum Quencher Travel Tumbler - 14 fl. oz.
227789,119.73,4.7,MSR Titan 2 Pot Set
205566,173.73,0.0,Mountain Equipment Nova II Sleeping Bag - Women's
230609,13.73,3.8,Sea to Summit X-Brew Coffee Dripper
235022,19.73,4.0,CamelBak Hot Cap Insulated Stainless-Steel Travel Mug - 20 fl. oz.
223029,104.73,1.0,Big Agnes Mica Basin Camp Chair
226974,154.73,5.0,Smith Ruckus ChromaPop Sunglasses
232073,19.73,5.0,GSI Outdoors MicroLite 500 Flip Vacuum Water Bottle - 17 fl. oz. - Brushed Stainless
223008,171.73,0.0,Big Agnes Sidewinder SL 35 Sleeping Bag - Women's
226985,68.73,4.1,BioLite HeadLamp 750
234840,149.73,0.0,Smith Rockaway ChromaPop Polarized Sunglasses - Women's
229110,76.73,0.0,Dragon Count Sunglasses
229112,84.73,0.0,Dragon Drac Sunglasses
228959,15.73,5.0,Outdoor Research PackOut Graphic Stuff Sack - 10 L
229115,76.73,0.0,Dragon Kodiak Sunglasses
229118,144.73,0.0,Dragon Ridge X Sunglasses
229119,63.73,5.0,Dragon Rune Sunglasses
229121,144.73,0.0,Dragon Tracer X Sunglasses
229117,84.73,0.0,Dragon Monarch XL Sunglasses
229120,76.73,0.0,Dragon Sparrow Sunglasses
229122,84.73,0.0,Dragon Wilder LL Sunglasses
229126,57.73,0.0,Dragon Juniper Sunglasses
230938,489.73,3.0,Mountain Hardwear Outpost 2 Tent
232439,36.73,0.0,Big Agnes Dog House 4 Footprint
231759,64.73,0.0,Mountain Hardwear ACI 3 Footprint
229123,80.73,0.0,Dragon Baile Sunglasses
232440,258.73,0.0,Big Agnes Sand Wash Car Tarp
232442,224.73,0.0,Big Agnes Deep Creek Tarp
232441,184.73,0.0,Big Agnes Deep Creek Tarp - Medium
233423,51.73,0.0,NEMO Switch 2P Footprint
229124,114.73,5.0,Dragon Baile XL H2O Polarized Sunglasses
234838,149.73,0.0,Smith Joya ChromaPop Polarized Sunglasses - Women's
234837,184.73,4.5,Smith Joya ChromaPop Polarized Glass Sunglasses - Women's
234839,184.73,4.4,Smith Rockaway ChromaPop Polarized Glass Sunglasses - Women's
234836,184.73,0.0,Smith Deckboss ChromaPop Glass Polarized Sunglasses
232897,25.73,1.0,Hydro Flask Coffee Cup with Flex Sip Lid - 20 fl. oz.
196109,24.95,4.5,REI Co-op Pack In Pack Out Pouches - Set of 3
232076,19.73,5.0,GSI Outdoors MicroLite 500 Flip Vacuum Water Bottle - 17 fl. oz.
857612,20.00,3.8,Suunto Clipper L-B NH Compass
232040,8.73,0.0,GSI Outdoors Cascadian 1-Person Table Set
207777,9.95,3.8,Backpacker's Pantry Pad Thai - 2 Servings
131742,69.95,4.2,Tifosi Alliant Sunglasses
232074,20.73,5.0,GSI Outdoors MicroLite 720 Flip Vacuum Water Bottle - 24 fl. oz.
235024,29.73,4.6,CamelBak Carry Cap Insulated Stainless-Steel Bottle - 64 fl. oz.
232075,16.73,0.0,GSI Outdoors Microlite 720 Twist Vacuum Water Bottle - 24 fl. oz.
206513,199.00,0.0,Yakima OpenRange Leg Kit
684087,99.00,3.9,Outdoor Research Bug Bivy
201327,183.00,4.0,Oakley Sutro Prizm Black Sunglasses
724690,14.95,4.1,Nikwax TX.Direct Wash-In Water Repellent Treatment - 10 fl. oz.
193055,34.73,4.0,ALPS Mountaineering Dayventure Waterproof Blanket
892413,36.95,4.1,Gerber Swagger Drop Point Knife
213482,165.73,5.0,ALPS Mountaineering Iron Ridge Cook Station
232895,32.73,0.0,Hydro Flask Standard-Mouth Vacuum Water Bottle with Flex Straw Cap - 24 fl. oz.
234623,39.73,0.0,Suncloud Beyond Polarized Sunglasses - Women's
141510,30.73,2.9,Mountain Summit Gear 4-Person Enamel Tableware Set
234843,134.73,0.0,Smith Monterey ChromaPop Polarized Sunglasses - Women's
234844,134.73,0.0,Smith Pinpoint ChromaPop Polarized Sunglasses
197378,204.95,2.5,Snow Peak Take! Bamboo Chair
228991,15.73,5.0,Outdoor Research PackOut Graphic Stuff Sack - 20 L
234519,62.73,0.0,Ledlenser P6R Core Rechargeable Flashlight
190725,24.95,4.5,Kelty Bestie Blanket
232453,36.73,0.0,Big Agnes Goosenest Cot Single-Wide Accessory Cover
234510,13.73,5.0,Ledlenser Kidbeam 4 Flashlight
234622,39.73,0.0,Suncloud Cityscape Polarized Sunglasses - Women's
213169,1.73,5.0,Sunday Afternoons Artist Series Face Mask - Kids'
184978,30.73,0.0,ALPS Mountaineering Camp Creek Two-Room Floor Saver Footprint
211022,134.73,4.6,Smith Longfin ChromaPop Polarized Sunglasses
213435,21.73,0.0,ALPS Mountaineering Paragon 2 Footprint
185042,22.73,0.0,ALPS Mountaineering Meramac 4 Floor Saver Footprint
229116,63.73,1.0,Dragon Melee Polarized Sunglasses
213446,46.73,3.0,ALPS Mountaineering Flexcore Air Pad - Long
184982,24.73,5.0,ALPS Mountaineering Camp Creek 6 Floor Saver Footprint
231806,74.73,0.0,Black Diamond Shot 11 Pack
174080,64.73,1.0,Mountainsmith Antero +35 Sleeping Bag
228960,13.73,4.8,Outdoor Research PackOut Graphic Stuff Sack - 15 L
229113,76.73,0.0,Dragon Eden Sunglasses
229114,76.73,0.0,Dragon Kodiak Sunglasses
227894,32.73,1.0,Gregory 3D Hydro Trek Hydration Reservoir - 3 Liters
226984,40.73,4.3,BioLite HeadLamp 330
130639,374.95,4.6,IceMule Boss 30 L Pack Cooler
217798,529.00,2.9,Marmot Limestone 6-Person Tent
139586,20.93,4.5,Hydro Flask Coffee with Flex Sip Lid - 12 fl. oz.
813512,5.25,4.6,SOL Emergency Blanket
232484,124.00,0.0,Motorola TALKABOUT T478 2-Way Radios - Pair
149806,59.93,4.8,RovR Products Essentials Pack
162815,80.00,4.1,YETI Daytrip Lunch Bag
165301,70.93,4.8,GSI Outdoors Pinnacle Dualist HS Cookset
150376,35.93,4.5,Sea to Summit DeltaLight Camp Set 4.4
151399,59.95,4.2,Sea to Summit Aeros Down Pillow
187990,16.00,4.5,CamelBak Chute Mag Renew Water Bottle - 25 fl. oz.
227453,38.00,4.9,Owala FreeSip Insulated Stainless-Steel Tumbler with Locking Push-Button Lid - 40 fl. oz.
850235,24.95,4.3,Cocoon Microfiber Mummy Liner
227376,54.95,4.3,MPOWERD Luci Solar String Lights - 18'
227895,82.73,0.0,Gregory Miwok 18 Pack - Men's Plus Size
139666,74.95,4.0,Katadyn Gravity BeFree Water Filtration System - 3 Liters
213436,20.73,1.0,ALPS Mountaineering Trail Tent Footprint
168699,32.95,4.7,Hydro Flask Wide-Mouth Vacuum Water Bottle - 20 fl. oz.
177187,29.93,4.3,RovR Products HoldR Umbrella Support
228992,20.73,5.0,Outdoor Research PackOut Graphic Stuff Sack - 35 L
234518,20.73,0.0,Ledlenser P2R Core Flashlight
227720,84.73,3.4,Coleman OneSource Heated Stadium Seat with Rechargeable Battery
237942,41.73,0.0,Gerber Gator Bolo Machete
196086,47.93,4.6,Sea to Summit Alpha Pot - 3.7 Liters
237940,29.73,0.0,Gerber Armbar Slim Cut Multi-Tool
184980,19.73,4.0,ALPS Mountaineering Camp Creek 4 Floor Saver Footprint
227877,52.73,2.5,Zempire Kitpack Spike Table
205573,105.73,0.0,Mountain Equipment Starlight I Sleeping Bag - Men's Long
213480,51.73,3.5,ALPS Mountaineering Eclipse Tic-Tac-Toe Table
233344,21.73,0.0,Osprey Hydraulics Lumbar Reservoir - 1.5 Liters
217423,59.73,4.4,Dragon Eden LL Sunglasses
237941,29.73,3.8,Gerber Armbar Slim Drive Multi-Tool
234444,119.73,5.0,Rumpl Sherpa Fleece Puffy Blanket
213481,118.73,0.0,ALPS Mountaineering Utility Table
232454,59.73,0.0,Big Agnes Goosenest Cot Double-Wide Accessory Cover
237944,21.73,0.0,Gerber Wingtip Folding Knife
205571,113.73,0.0,Mountain Equipment Starlight II Sleeping Bag - Women's Long
231476,43.73,0.0,Patagonia Organic Cotton Towel
233759,44.73,0.0,Tifosi Slice Sunglasses
210870,139.73,0.0,Smith Caper ChromaPop Polarized Sunglasses - Women's
229127,137.73,0.0,Dragon Meridien Polarized Sunglasses
193085,147.73,2.0,ALPS Mountaineering Camp Creek 4 Tent
217426,61.73,5.0,Dragon Wilder LL Sunglasses
217507,19.95,4.5,OXO Compact Can and Bottle Opener
213473,148.73,0.0,ALPS Mountaineering Westwind Rocker Chair
197833,29.93,3.3,MiiR Food Canister - 24 fl. oz.
131776,25.95,4.7,humangear GoToob+ Medium Squeeze Bottles - 2.5 fl. oz. - Package of 3
204890,27.95,4.5,Hydro Flask All Around Tumbler - 20 fl. oz.
175897,10.95,4.4,Mountain House Rice &amp; Chicken - 2 Servings
222900,399.95,0.0,Exped Trekkinglite 15 Sleeping Bag
850233,5.95,4.8,Sea to Summit 2-Pin Side-Release Field Repair Buckle
220675,19.95,4.4,Coghlan's Picnic Table Cover
